StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,informed_consent,screener,age,gender,nationality,base_state,positionPosition,air_carrier_type,experience,Total_flying_hours,military_experience,general_1,general_2,general_3,general_4,general_5,general_6,financial_1,financial_2,financial_3,financial_4,financial_5,financial_6,QoL_1,QoL_2,QoL_3,QoL_4,QoL_5,QoL_6,professional_1,professional_2,professional_3,professional_4,professional_5,recognition_1,recognition_3,recognition_4,recognition_7,schedule_1,schedule_2,schedule_3,schedule_4,schedule_5,operational_1,operational_2,operational_3,operational_4,operational_5,leaving,when,why
2025-03-29 13:57:35,2025-03-29 14:03:32,IP Address,100,357,True,2025-03-29 14:03:33,R_3LHAvCsYURSFkp7,anonymous,EN,0.8999999761581421,Yes,Yes,23,Male,United States of America,Ohio,First Officer,Regional Airline,1,2400,Never served in the military,1,2,4,6,3,5,1,4,2,6,3,5,2,5,6,3,4,1,2,4,3,1,5,2,3,1,4,5,3,2,1,4,1,2,3,5,4,Yes,1-2 years,"Transition to mainline, for better pay, and benefits "
2025-03-29 14:00:45,2025-03-29 14:10:20,IP Address,100,574,True,2025-03-29 14:10:20,R_7MJUB56fdYAoLJ7,anonymous,EN,0.8999999761581421,Yes,Yes,42,Male,United States of America,Illinois,First Officer,Regional Airline,2,2500,Never served in the military,1,6,3,2,4,5,1,3,4,5,2,6,1,5,6,2,3,4,1,2,3,5,4,1,2,3,4,1,4,2,3,5,3,1,2,5,4,Maybe,1-2 years,Fly larger aircraft that pays better
2025-03-29 14:06:57,2025-03-29 14:14:27,IP Address,100,450,True,2025-03-29 14:14:29,R_30TPISDRuzzYDx7,anonymous,EN,1,Yes,Yes,58,Male,United States of America,Virginia,Captain,Regional Airline,8,7000,Previously served in the military,2,4,6,5,1,3,1,5,2,4,3,6,2,4,6,1,3,5,1,4,5,2,3,4,1,3,2,1,5,2,4,3,3,1,2,5,4,No,,
2025-03-29 14:07:16,2025-03-29 14:15:21,IP Address,100,485,True,2025-03-29 14:15:21,R_37O0FLdRZZTccML,anonymous,EN,0.8999999761581421,Yes,Yes,25,Male,Lao People's Democratic Republic,Ohio,First Officer,Regional Airline,6,2020,Never served in the military,1,4,3,6,2,5,2,3,5,6,1,4,2,6,3,4,5,1,1,2,5,4,3,3,2,1,4,2,3,1,5,4,1,2,3,5,4,Yes,3-4 years,Want to work for an airline that has a base where I live. I currently commute.
2025-03-29 14:13:11,2025-03-29 14:18:29,IP Address,100,318,True,2025-03-29 14:18:29,R_3ms3WtXcbeuCz5v,anonymous,EN,0.8999999761581421,Yes,Yes,30,Male,United States of America,Indiana,First Officer,Regional Airline,3,3000,Never served in the military,4,2,5,6,1,3,2,4,6,5,1,3,3,5,4,2,6,1,1,5,4,2,3,2,4,1,3,2,3,1,4,5,5,2,3,4,1,Maybe,1-2 years,"Advancement. I genuinely enjoy my current airline, however moving to a legacy in the near future would provide greater pay and a similar schedule to upgrading at my current airline,"
2025-03-29 14:15:12,2025-03-29 14:20:20,IP Address,100,307,True,2025-03-29 14:20:21,R_5KqiQaJYAIBS5XJ,anonymous,EN,0.8999999761581421,Yes,Yes,29,Male,United States of America,Ohio,Captain,Regional Airline,7,4000,Never served in the military,3,1,6,5,2,4,2,4,3,5,1,6,3,5,4,1,6,2,1,3,4,2,5,3,1,2,4,1,5,2,3,4,4,3,1,5,2,Maybe,over 4 years,Larger airline that offers an equal or better quality of life
2025-03-29 14:13:50,2025-03-29 14:20:32,IP Address,100,401,True,2025-03-29 14:20:32,R_3255ZxryyqUp6Qs,anonymous,EN,0.8999999761581421,Yes,Yes,27,Male,United States of America,Pennsylvania,Captain,Regional Airline,3,3000,Never served in the military,1,2,5,4,3,6,1,4,5,6,3,2,1,2,5,6,3,4,2,3,1,5,4,4,3,1,2,5,1,4,2,3,5,4,2,3,1,Yes,1-2 years,The pay that comes with larger aircraft types
2025-03-29 14:14:43,2025-03-29 14:21:10,IP Address,100,386,True,2025-03-29 14:21:10,R_5TuJWzjnAPu59U5,anonymous,EN,0.8999999761581421,Yes,Yes,28,Male,United States of America,Ohio,First Officer,Regional Airline,3,2137,Never served in the military,3,1,6,5,2,4,2,4,5,3,1,6,2,5,6,3,4,1,1,5,2,3,4,2,3,1,4,1,5,4,3,2,5,4,2,3,1,Maybe,over 4 years,I want to be home every night and more pay
2025-03-29 14:16:04,2025-03-29 14:21:13,IP Address,100,309,True,2025-03-29 14:21:13,R_6OTkImHetStwqkI,anonymous,EN,0.8999999761581421,Yes,Yes,30,Male,United States of America,Tennessee,First Officer,Legacy/Mainline Part 121 Airline,7,4000,Previously served in the military,2,1,4,6,3,5,1,3,4,5,2,6,3,4,6,1,5,2,1,3,5,4,2,4,2,1,3,5,4,2,1,3,3,4,2,5,1,No,,
2025-03-29 14:24:14,2025-03-29 14:30:55,IP Address,100,401,True,2025-03-29 14:30:56,R_315v6pRnRfUe8fy,anonymous,EN,1,Yes,Yes,49,Male,United States of America,Virginia,First Officer,Legacy/Mainline Part 121 Airline,4,5600,Previously served in the military,2,1,5,6,3,4,1,5,3,4,2,6,1,6,3,2,5,4,1,4,2,5,3,4,2,1,3,5,1,2,3,4,4,1,3,5,2,No,,
2025-03-29 14:26:08,2025-03-29 14:31:55,IP Address,100,347,True,2025-03-29 14:31:55,R_7ITc6iNjg0lIyLT,anonymous,EN,0.8999999761581421,Yes,Yes,30,Male,United States of America,New Jersey,Captain,Regional Airline,7,5500,Never served in the military,3,2,4,6,1,5,2,5,3,4,1,6,3,5,6,2,4,1,1,4,2,5,3,3,2,1,4,2,3,1,4,5,4,3,1,5,2,Yes,Within 1 year,QOL
2025-03-29 14:27:59,2025-03-29 14:35:24,IP Address,100,444,True,2025-03-29 14:35:24,R_3I73ShkXonYly5r,anonymous,EN,0.8999999761581421,Yes,Yes,32,Male,United States of America,Kentucky,Captain,Regional Airline,8,8000,Never served in the military,4,1,5,6,2,3,2,6,1,4,3,5,4,5,6,2,3,1,1,5,4,2,3,4,2,1,3,4,5,1,3,2,3,4,2,5,1,Yes,Within 1 year,Company has made no strides to expand to change in many years. Gone as far as I can here
2025-03-29 14:38:19,2025-03-29 14:43:46,IP Address,100,326,True,2025-03-29 14:43:46,R_1kAjqG1lb4ZkHPg,anonymous,EN,0.8999999761581421,Yes,Yes,32,Female,United States of America,Kentucky,First Officer,Legacy/Mainline Part 121 Airline,3,4000,Never served in the military,3,2,5,6,1,4,1,5,2,3,4,6,3,4,5,1,6,2,1,5,4,3,2,3,2,1,4,2,5,1,4,3,3,2,1,5,4,No,,
2025-03-29 14:44:17,2025-03-29 14:47:36,IP Address,100,199,True,2025-03-29 14:47:37,R_7azbpHGgG7VkypX,anonymous,EN,0.6000000238418579,Yes,Yes,23,Male,United States of America,Illinois,First Officer,Regional Airline,1,1350,Never served in the military,2,1,5,6,3,4,2,6,1,4,3,5,3,6,4,2,5,1,2,4,3,1,5,2,4,1,3,1,5,2,4,3,1,3,5,4,2,Maybe,3-4 years,"Better pay, more opportunity and flights"
2025-03-29 13:59:10,2025-03-29 14:50:44,IP Address,100,3094,True,2025-03-29 14:50:44,R_32DwtciseCMnkd4,anonymous,EN,0.6000000238418579,Yes,Yes,29,Male,United States of America,Michigan,First Officer,Legacy/Mainline Part 121 Airline,4,3800,Never served in the military,2,1,3,6,4,5,1,4,2,3,5,6,1,2,3,6,4,5,1,5,2,4,3,3,4,2,1,2,3,5,1,4,5,2,3,4,1,No,,
2025-03-29 14:57:55,2025-03-29 15:01:45,IP Address,100,229,True,2025-03-29 15:01:45,R_7EBkHqf7Wd1FCKh,anonymous,EN,0.8999999761581421,Yes,Yes,26,Male,United States of America,New York,Captain,Regional Airline,3,2800,Never served in the military,1,3,4,6,2,5,1,4,2,5,3,6,4,5,6,3,1,2,1,4,2,5,3,4,1,3,2,4,5,1,3,2,1,2,3,4,5,Maybe,1-2 years,Work for a legacy.
2025-03-29 14:58:07,2025-03-29 15:02:22,IP Address,100,254,True,2025-03-29 15:02:22,R_7VkRGcERWm6ndip,anonymous,EN,0.8999999761581421,Yes,Yes,40,Male,United States of America,Indiana,Captain,Regional Airline,14,8000,Previously served in the military,3,2,4,6,1,5,1,2,5,6,3,4,5,4,3,1,6,2,1,3,5,2,4,3,1,2,4,5,1,2,4,3,1,2,4,5,3,Maybe,over 4 years,"Do international flying "
2025-03-29 15:00:41,2025-03-29 15:04:56,IP Address,100,254,True,2025-03-29 15:04:56,R_34ozo5XPoyijBfF,anonymous,EN,0.8999999761581421,Yes,Yes,35,Male,United States of America,New Jersey,First Officer,Regional Airline,3,2400,Never served in the military,1,4,3,5,2,6,2,3,5,4,1,6,3,1,4,5,6,2,1,5,2,3,4,3,1,4,2,4,3,1,2,5,4,5,1,2,3,Yes,1-2 years,Pay and QOL
2025-03-29 15:01:57,2025-03-29 15:07:35,IP Address,100,337,True,2025-03-29 15:07:35,R_3k6bpBjqXaaRWdb,anonymous,EN,0.8999999761581421,Yes,Yes,38,Male,United States of America,Michigan,Captain,Low Cost Carrier,10,8000,Previously served in the military,3,1,4,6,2,5,2,5,1,4,3,6,3,4,6,1,5,2,1,2,5,4,3,4,1,2,3,5,1,2,4,3,2,3,4,5,1,Maybe,over 4 years,Once my kids are out of the the house For a legacy passenger carrier
2025-03-29 15:05:18,2025-03-29 15:09:16,IP Address,100,238,True,2025-03-29 15:09:17,R_17JC4Mze62FTKKH,anonymous,EN,0.8999999761581421,Yes,Yes,35,Male,United States of America,Ohio,Captain,Regional Airline,15,11500,Never served in the military,3,1,5,6,2,4,2,3,4,5,1,6,2,3,6,1,5,4,1,3,4,5,2,3,1,2,4,5,4,3,1,2,4,3,2,5,1,No,,
